tipo,osm_id,osm_url,lat,lon,mecanismo,categoria,voltaje,detalle,operador,peligro,riesgo_max,riesgo_medio,mes_pico,especies
apoyo,6168747877,https://www.openstreetmap.org/node/6168747877,36.218543,-5.3802525,electrocucion,distribucion,,pole,,1.0,5.7065098295411145,4.044907408608423,mar,"Cigüeña blanca, Halcón peregrino, Buitre leonado"
apoyo,6168747876,https://www.openstreetmap.org/node/6168747876,36.2178732,-5.3821903,electrocucion,distribucion,,pole,,1.0,5.7065098295411145,4.044907408608423,mar,"Cigüeña blanca, Halcón peregrino, Buitre leonado"
apoyo,6168747875,https://www.openstreetmap.org/node/6168747875,36.2172944,-5.3838104,electrocucion,distribucion,,pole,,1.0,5.7065098295411145,4.044907408608423,mar,"Cigüeña blanca, Halcón peregrino, Buitre leonado"
apoyo,6170070294,https://www.openstreetmap.org/node/6170070294,36.2911586,-5.4057777,electrocucion,distribucion,15000.0,tower,,1.0,5.66591141754598,2.8287101185039503,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,6170070293,https://www.openstreetmap.org/node/6170070293,36.2921109,-5.4051407,electrocucion,distribucion,15000.0,tower,,1.0,5.66591141754598,2.8287101185039503,may,"Cigüeña blanca, Águila real, Buitre leonado"
aerogenerador,9556249763,https://www.openstreetmap.org/node/9556249763,36.3759605,-5.3560567,colision_aerogenerador,eolico,,2.2 MW,,,5.636980338468651,2.228946578940506,feb,"Halcón peregrino, Águila perdicera, Culebrera europea"
aerogenerador,9556249769,https://www.openstreetmap.org/node/9556249769,36.3631472,-5.355207,colision_aerogenerador,eolico,,2.2 MW,,,5.6356217209275465,1.8943244372973285,feb,"Halcón peregrino, Culebrera europea, Águila perdicera"
apoyo,6170070284,https://www.openstreetmap.org/node/6170070284,36.3091556,-5.3995389,electrocucion,distribucion,15000.0,tower,,1.0,5.5546791487373754,3.1364724309862093,may,"Cigüeña blanca, Águila real, Culebrera europea"
apoyo,6170070285,https://www.openstreetmap.org/node/6170070285,36.307528,-5.3996193,electrocucion,distribucion,15000.0,tower,,1.0,5.5546791487373754,3.1364724309862093,may,"Cigüeña blanca, Águila real, Culebrera europea"
apoyo,6170070286,https://www.openstreetmap.org/node/6170070286,36.3062181,-5.3998366,electrocucion,distribucion,15000.0,tower,,1.0,5.5546791487373754,3.1364724309862093,may,"Cigüeña blanca, Águila real, Culebrera europea"
apoyo,12218053069,https://www.openstreetmap.org/node/12218053069,36.2549936,-5.9128898,electrocucion,distribucion,66000.0,tower,,1.0,5.492612414527413,3.745026695327759,abr,"Búho real, Águila real, Culebrera europea"
apoyo,6190163487,https://www.openstreetmap.org/node/6190163487,36.2049859,-5.4056489,electrocucion,distribucion,66000.0,tower,,1.0,5.297173436088079,3.4684215589190877,may,"Cigüeña blanca, Águila calzada, Águila real"
apoyo,6190163468,https://www.openstreetmap.org/node/6190163468,36.2047262,-5.405598,electrocucion,distribucion,66000.0,tower,,1.0,5.297173436088079,3.4684215589190877,may,"Cigüeña blanca, Águila calzada, Águila real"
apoyo,12229331468,https://www.openstreetmap.org/node/12229331468,36.1443353,-5.4801255,electrocucion,distribucion,66000.0,tower,,0.9,5.279169776610499,3.4969515676572986,mar,"Milano negro, Culebrera europea, Cigüeña blanca"
apoyo,12187936213,https://www.openstreetmap.org/node/12187936213,36.1989314,-5.3778041,electrocucion,distribucion,66000.0,tower,,1.0,5.241471245866434,3.209177630057137,mar,"Halcón peregrino, Cigüeña blanca, Buitre leonado"
apoyo,1362722548,https://www.openstreetmap.org/node/1362722548,36.1970542,-5.3786337,electrocucion,distribucion,66000.0,tower,,1.0,5.241471245866434,3.209177630057137,mar,"Halcón peregrino, Cigüeña blanca, Buitre leonado"
apoyo,1362722423,https://www.openstreetmap.org/node/1362722423,36.1956018,-5.3792828,electrocucion,distribucion,66000.0,tower,,1.0,5.241471245866434,3.209177630057137,mar,"Halcón peregrino, Cigüeña blanca, Buitre leonado"
aerogenerador,2016274996,https://www.openstreetmap.org/node/2016274996,36.3215864,-5.9485273,colision_aerogenerador,eolico,,2 MW,,,5.166400778653016,2.266164745193761,dic,"Águila imperial ibérica, Águila real, Milano real"
apoyo,6153752380,https://www.openstreetmap.org/node/6153752380,36.2223416,-5.3387198,electrocucion,distribucion,,tower,,1.0,5.132231871034235,2.1075909877420993,may,"Abejero europeo, Águila real, Buitre leonado"
apoyo,6616118960,https://www.openstreetmap.org/node/6616118960,36.2300931,-5.9447032,electrocucion,distribucion,20000.0,tower,,1.0,5.118359687706507,2.534410692683998,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6153865461,https://www.openstreetmap.org/node/6153865461,36.2154139,-5.3416649,electrocucion,distribucion,,tower,,1.0,5.07950825124191,1.996915573128753,may,"Abejero europeo, Águila real, Búho real"
apoyo,6153865464,https://www.openstreetmap.org/node/6153865464,36.2173182,-5.3443229,electrocucion,distribucion,,tower,,1.0,5.07950825124191,1.996915573128753,may,"Abejero europeo, Águila real, Búho real"
apoyo,6153865462,https://www.openstreetmap.org/node/6153865462,36.2159938,-5.3417802,electrocucion,distribucion,,tower,,1.0,5.07950825124191,1.996915573128753,may,"Abejero europeo, Águila real, Búho real"
apoyo,6153865463,https://www.openstreetmap.org/node/6153865463,36.2168572,-5.3435317,electrocucion,distribucion,,tower,,1.0,5.07950825124191,1.996915573128753,may,"Abejero europeo, Águila real, Búho real"
