tipo,osm_id,osm_url,lat,lon,mecanismo,categoria,voltaje,detalle,operador,peligro,riesgo_max,riesgo_medio,mes_pico,especies
apoyo,7780771820,https://www.openstreetmap.org/node/7780771820,42.8895271,-3.6644877,electrocucion,distribucion,,pole,,1.0,8.174723821313346,5.20695669345174,jul,"Culebrera europea, Buitre negro, Águila real"
apoyo,12036304520,https://www.openstreetmap.org/node/12036304520,43.3688004,-3.9546922,electrocucion,distribucion,12000.0,pole,,1.57,8.16958017210096,4.132038467132078,mar,"Milano negro, Garza real, Buitre leonado"
apoyo,13780568426,https://www.openstreetmap.org/node/13780568426,43.3648299,-4.0869659,electrocucion,distribucion,12000.0,tower,,1.3,8.165042521370001,3.8795960531704314,jun,"Abejero europeo, Garza real, Milano negro"
apoyo,13314447680,https://www.openstreetmap.org/node/13314447680,43.3502691,-4.13685,electrocucion,distribucion,,pole,,1.0,8.165011825685015,3.8754631601436547,abr,"Milano negro, Buitre leonado, Cigüeña blanca"
apoyo,13314447681,https://www.openstreetmap.org/node/13314447681,43.3508846,-4.1354572,electrocucion,distribucion,,pole,,1.0,8.165011825685015,3.8754631601436547,abr,"Milano negro, Buitre leonado, Cigüeña blanca"
apoyo,13780872815,https://www.openstreetmap.org/node/13780872815,43.3507584,-4.1394033,electrocucion,distribucion,12000.0,tower,,1.0,8.165011825685015,3.8754631601436547,abr,"Milano negro, Buitre leonado, Cigüeña blanca"
linea,1392532797,https://www.openstreetmap.org/way/1392532797,43.2249819,-3.9914156,colision_linea,distribucion,12000.0,minor_line,,,8.163299491917776,1.9457836679716909,jun,"Halcón peregrino, Milano negro, Buitre leonado"
linea,1299334976,https://www.openstreetmap.org/way/1299334976,43.3624956,-3.95908695,colision_linea,distribucion,12000.0,minor_line,,,8.162645412172296,4.621579754159386,mar,"Milano negro, Garza real, Buitre leonado"
apoyo,10096327843,https://www.openstreetmap.org/node/10096327843,42.8032976,-3.2748065,electrocucion,distribucion,,pole,,1.0,8.1570778605441,1.7817877150999717,jun,"Buitre negro, Abejero europeo, Buitre leonado"
apoyo,10096327844,https://www.openstreetmap.org/node/10096327844,42.8043359,-3.2741781,electrocucion,distribucion,,pole,,1.0,8.1570778605441,1.7817877150999717,jun,"Buitre negro, Abejero europeo, Buitre leonado"
apoyo,10067902749,https://www.openstreetmap.org/node/10067902749,43.3804007,-3.8880941,electrocucion,distribucion,12000.0,tower,,1.0,8.151017381187737,4.966045011763842,abr,"Milano negro, Cigüeña negra, Garza real"
apoyo,567337130,https://www.openstreetmap.org/node/567337130,43.3827108,-3.8870306,electrocucion,distribucion,55000.0,tower,,1.0,8.151017381187737,4.966045011763842,abr,"Milano negro, Cigüeña negra, Garza real"
apoyo,10067902751,https://www.openstreetmap.org/node/10067902751,43.3813782,-3.8858108,electrocucion,distribucion,12000.0,tower,,1.0,8.151017381187737,4.966045011763842,abr,"Milano negro, Cigüeña negra, Garza real"
apoyo,10067902750,https://www.openstreetmap.org/node/10067902750,43.380327,-3.8888026,electrocucion,distribucion,12000.0,tower,,1.0,8.151017381187737,4.966045011763842,abr,"Milano negro, Cigüeña negra, Garza real"
apoyo,567337118,https://www.openstreetmap.org/node/567337118,43.3812915,-3.8895358,electrocucion,distribucion,55000.0,tower,,1.0,8.151017381187737,4.966045011763842,abr,"Milano negro, Cigüeña negra, Garza real"
apoyo,7771526615,https://www.openstreetmap.org/node/7771526615,42.9316007,-3.6613106,electrocucion,distribucion,,pole,,1.0,8.14228223684802,2.577958595637368,sep,"Culebrera europea, Chova piquirroja, Buitre leonado"
apoyo,8304840105,https://www.openstreetmap.org/node/8304840105,42.9306398,-3.6614337,electrocucion,distribucion,,pole,,1.0,8.14228223684802,2.577958595637368,sep,"Culebrera europea, Chova piquirroja, Buitre leonado"
apoyo,13322246730,https://www.openstreetmap.org/node/13322246730,43.3162307,-3.905566,electrocucion,distribucion,55000.0,tower,,1.0,8.13883024091446,4.520275413238386,ago,"Abejero europeo, Garza real, Cigüeña blanca"
apoyo,11540373898,https://www.openstreetmap.org/node/11540373898,43.3155041,-3.9080328,electrocucion,distribucion,55000.0,tower,,1.0,8.13883024091446,4.520275413238386,ago,"Abejero europeo, Garza real, Cigüeña blanca"
apoyo,7416893448,https://www.openstreetmap.org/node/7416893448,43.0523823,-3.4845767,electrocucion,distribucion,,pole,,0.5,8.131602296910296,4.116362667561736,ago,"Alimoche, Águila calzada, Cigüeña negra"
aerogenerador,13691310479,https://www.openstreetmap.org/node/13691310479,43.0570867,-3.9115977,colision_aerogenerador,eolico,,4.2 MW,,,8.131161480217521,3.684176182127598,ago,"Cigüeña negra, Cigüeña blanca, Garza real"
aerogenerador,13691310480,https://www.openstreetmap.org/node/13691310480,43.0592433,-3.9132707,colision_aerogenerador,eolico,,4.2 MW,,,8.131161480217521,3.684176182127598,ago,"Cigüeña negra, Cigüeña blanca, Garza real"
apoyo,13443621823,https://www.openstreetmap.org/node/13443621823,43.2774107,-3.5754051,electrocucion,distribucion,12000.0,pole,,1.0,8.1300446095548,3.8494716723873483,jun,"Abejero europeo, Culebrera europea, Chova piquirroja"
apoyo,13443621825,https://www.openstreetmap.org/node/13443621825,43.2775339,-3.579119,electrocucion,distribucion,12000.0,tower,,1.0,8.1300446095548,3.8494716723873483,jun,"Abejero europeo, Culebrera europea, Chova piquirroja"
apoyo,13443621824,https://www.openstreetmap.org/node/13443621824,43.2768718,-3.5764489,electrocucion,distribucion,12000.0,tower,,1.0,8.1300446095548,3.8494716723873483,jun,"Abejero europeo, Culebrera europea, Chova piquirroja"
apoyo,10067790863,https://www.openstreetmap.org/node/10067790863,43.3841152,-3.8723635,electrocucion,distribucion,55000.0,tower,,1.0,8.122791039027575,4.180575414272408,jun,"Milano negro, Abejero europeo, Cigüeña negra"
apoyo,10067790862,https://www.openstreetmap.org/node/10067790862,43.3848572,-3.8709598,electrocucion,distribucion,55000.0,tower,,1.0,8.122791039027575,4.180575414272408,jun,"Milano negro, Abejero europeo, Cigüeña negra"
apoyo,10067790864,https://www.openstreetmap.org/node/10067790864,43.3834442,-3.8736303,electrocucion,distribucion,55000.0,tower,,1.0,8.122791039027575,4.180575414272408,jun,"Milano negro, Abejero europeo, Cigüeña negra"
apoyo,10067790865,https://www.openstreetmap.org/node/10067790865,43.3827436,-3.8749558,electrocucion,distribucion,55000.0,tower,,1.0,8.122791039027575,4.180575414272408,jun,"Milano negro, Abejero europeo, Cigüeña negra"
apoyo,10166770700,https://www.openstreetmap.org/node/10166770700,43.4003476,-4.0044179,electrocucion,distribucion,12000.0,tower,,1.0,8.122716696584169,6.1005196658506655,may,"Espátula común, Halcón peregrino, Milano negro"
apoyo,13522282693,https://www.openstreetmap.org/node/13522282693,43.3101011,-4.0760601,electrocucion,distribucion,12000.0,tower,,1.0,8.122022335770087,3.0739023722608105,nov,"Grulla común, Milano real, Halcón peregrino"
apoyo,13522282692,https://www.openstreetmap.org/node/13522282692,43.3104172,-4.0755487,electrocucion,distribucion,12000.0,tower,,1.0,8.122022335770087,3.0739023722608105,nov,"Grulla común, Milano real, Halcón peregrino"
linea,1097463049,https://www.openstreetmap.org/way/1097463049,43.40145755,-3.7646099499999996,colision_linea,distribucion,12000.0,line,,,8.121618504265545,4.6544325686151415,jun,"Milano negro, Abejero europeo, Espátula común"
linea,901636316,https://www.openstreetmap.org/way/901636316,43.1205343,-3.3054055499999997,colision_linea,distribucion,,minor_line,,,8.12040914190236,3.7898272219744307,mar,"Alimoche, Milano real, Búho real"
apoyo,13798937044,https://www.openstreetmap.org/node/13798937044,43.355762,-4.4137408,electrocucion,distribucion,12000.0,tower,,1.0,8.117763890760566,4.239630828034332,may,"Milano negro, Garza real, Espátula común"
apoyo,13798937045,https://www.openstreetmap.org/node/13798937045,43.3557446,-4.4125007,electrocucion,distribucion,12000.0,tower,,1.0,8.117763890760566,4.239630828034332,may,"Milano negro, Garza real, Espátula común"
apoyo,13798937043,https://www.openstreetmap.org/node/13798937043,43.3557732,-4.4149841,electrocucion,distribucion,12000.0,pole,,1.0,8.117763890760566,4.239630828034332,may,"Milano negro, Garza real, Espátula común"
apoyo,13348583326,https://www.openstreetmap.org/node/13348583326,43.4319812,-3.6606227,electrocucion,distribucion,12000.0,tower,,1.0,8.116876973360803,3.3008293637336137,jun,"Alimoche, Milano negro, Cigüeña blanca"
apoyo,13348583324,https://www.openstreetmap.org/node/13348583324,43.4336369,-3.660236,electrocucion,distribucion,12000.0,tower,,1.0,8.116876973360803,3.3008293637336137,jun,"Alimoche, Milano negro, Cigüeña blanca"
apoyo,577009397,https://www.openstreetmap.org/node/577009397,43.4344686,-3.6646347,electrocucion,distribucion,55000.0,tower,,1.0,8.116876973360803,3.3008293637336137,jun,"Alimoche, Milano negro, Cigüeña blanca"
apoyo,13348583327,https://www.openstreetmap.org/node/13348583327,43.4300749,-3.6610971,electrocucion,distribucion,12000.0,tower,,1.0,8.116876973360803,3.3008293637336137,jun,"Alimoche, Milano negro, Cigüeña blanca"
apoyo,13348583323,https://www.openstreetmap.org/node/13348583323,43.4344043,-3.6600373,electrocucion,distribucion,12000.0,tower,,1.0,8.116876973360803,3.3008293637336137,jun,"Alimoche, Milano negro, Cigüeña blanca"
apoyo,7029812991,https://www.openstreetmap.org/node/7029812991,43.4361065,-4.8929768,electrocucion,distribucion,24000.0,pole,,1.0,8.115944009362767,5.048836628500099,may,"Milano negro, Chova piquirroja, Cigüeña negra"
apoyo,3883729042,https://www.openstreetmap.org/node/3883729042,43.3430829,-3.1544574,electrocucion,distribucion,30000.0,tower,,0.9,8.108286668411324,5.288252890143951,jul,"Halcón peregrino, Chova piquirroja, Abejero europeo"
